LastTradeTime,SBIN_LTP,INFY_LTP,BEPL_LTP,HDIL_LTP,BPCL_LTP
2019-03-18 20:31:38,0,0,0,0,0
2019-03-18 20:31:39,0,0,0,0,0
2019-03-18 20:31:40,0,0,0,0,0
2019-03-18 20:31:41,0,0,0,0,0
2019-03-18 20:31:42,0,0,0,0,0
2019-03-18 20:31:43,289.0,697.75,71.4,23.6,334.9
2019-03-18 20:31:44,289.0,697.75,71.4,23.6,334.9
2019-03-18 20:31:45,289.0,697.75,71.4,23.6,334.9
2019-03-18 20:31:46,289.0,697.75,71.4,23.6,334.9
2019-03-18 20:31:47,289.0,697.75,71.4,23.6,334.9
2019-03-18 20:31:48,289.0,697.75,71.4,23.6,334.9
2019-03-18 20:31:49,289.0,697.75,71.4,23.6,334.9
2019-03-18 20:31:50,289.0,697.75,71.4,23.6,334.9
2019-03-18 20:31:51,289.0,697.75,71.4,23.6,334.9
2019-03-18 20:31:52,289.0,697.75,71.4,23.6,334.9
2019-03-18 20:31:53,289.0,697.75,71.4,23.6,334.9
2019-03-18 20:31:54,289.0,697.75,71.4,23.6,334.9
2019-03-18 20:31:55,289.0,697.75,71.4,23.6,334.9
2019-03-18 20:31:56,289.0,697.75,71.4,23.6,334.9
2019-03-18 20:31:57,289.0,697.75,71.4,23.6,334.9
2019-03-18 20:31:58,289.0,697.75,71.4,23.6,334.9
